0,5	0,4	0,3
3.2924504193548385,5.4166050322580634	1.3725042941176477,3.9201642352941186	1.592560022727274,-2.0701881477272717
4.792843745098041,4.082670980392155	-2.122378474576271,2.5794211694915257	1.9543619413793125,-2.9467267206896546
4.599155520547946,3.3508662191780814	-3.0313305875000003,1.4536210499999995	2.3997884939271277,-3.4617473603238857
4.552337430232559,2.8315452325581387	-2.8725543010752665,0.9798788064516124	2.541295000000002,-3.7501823484162884
4.537952818181819,2.7605335681818173	-2.701299329999998,0.8189418599999995	2.6262724009433986,-3.863065188679244
4.446439402173914,2.633812673913042	-2.6161846442307675,0.7137812115384615	2.691129617647061,-3.9739837843137242
4.386508197916669,2.5045021562499987	-2.5890646415094323,0.6459233679245281	2.723816813131315,-4.055801838383838
4.406495959595961,2.3952444949494938	-2.5288544954128422,0.5678502293577982	2.7363630416666678,-4.131112291666665
4.407242720000001,2.361133869999999	-2.392084859649121,0.49080325438596495	2.7846939032258073,-4.226955043010752
4.395005633663367,2.330145297029702	-2.2825697563025193,0.3977362941176471	2.853943866666667,-4.315688744444444
4.356281153846155,2.239214451923076	-2.1709021219512175,0.3551277073170732	2.889869277456648,-4.454957751445086
4.356281153846155,2.239214451923076	-2.1590674758064496,0.3271910241935484	2.9107604127906983,-4.462782965116278
4.356281153846155,2.239214451923076	-2.1489647839999977,0.29752051999999996	2.9330235204678368,-4.469105543859649
